Bundesland,Gesamt,männlich,weiblich
Baden-Württemberg,"11280 257","5595 424","5684 833"
Bayern,"13369 393","6620 203","6749 190"
Berlin,"3755 251","1843 196","1912 055"
Brandenburg,"2573 135","1265 151","1307 984"
Bremen,684864,338233,346631
Hamburg,"1892 122",925616,966506
Hessen,"6391 360","3151 158","3240 202"
Mecklenburg-Vorpommern,"1628 378",799695,828683
Niedersachsen,"8140 242","4009 822","4130 420"
Nordrhein-Westfalen,"18139 116","8890 200","9248 916"
Rheinland-Pfalz,"4159 150","2054 254","2104 896"
Saarland,992666,487101,505565
Sachsen,"4086 152","2010 537","2075 615"
Sachsen-Anhalt,"2186 643","1073 711","1112 932"
Schleswig-Holstein,"2953 270","1443 269","1510 001"
Thüringen,"2126 846","1051 482","1075 364"
